"notation";"title";"description";"id"
"1";"Sprechen und Zuhören";"";"v6c"
"1.1";"Zu anderen sprechen";"";"s9y"
"1.1.1";"äußern sich verständlich und situationsadäquat auch in der gesprochenen Standardsprache,";"";"z3d"
"1.1.2";"verfügen über einen angemessenen Wortschatz,";"";"d5a"
"1.1.3";"kommunizieren mit Blick auf Adressaten und Ziele situationsangemessen:";"";"g4v"
"1.1.3.1";"erzählen,";"";"f3r"
"1.1.3.2";"informieren: berichten, beschreiben,";"";"e6e"
"1.1.3.3";"erklären,";"";"u3a"
"1.1.3.4";"erläutern,";"";"y7z"
"1.1.3.5";"argumentieren, erörtern,";"";"s5z"
"1.1.3.6";"appellieren,";"";"t2q"
"1.1.4";"nutzen ihre Vorbereitungen (z. B. Notizen) für die sach- und situationsgerechte Gestaltung vertrauter und unvertrauter Situationen, z. B. Bewerbungsgespräch, Diskussion, Präsentation,";"";"e3a"
"1.1.5";"bauen Redebeiträge in vertrauten und unvertrauten Situationen für andere nachvollziehbar und sinnvoll auf,";"";"f2t"
"1.1.6";"berücksichtigen typische Wirkungen der Redeweise situations- und adressatengerecht: Lautstärke, Betonung, Sprechtempo, Pausen, Körpersprache (Gestik/Mimik/Körperhaltung),";"";"v6s"
"1.1.7";"wählen geeignete (multimodale) Medien mit Unterstützung sinnvoll aus und setzen diese gezielt ein, um den Inhalt und die Wirkung eigener Sprechbeiträge zu unterstützen,";"";"p5e"
"1.1.8";"geben in vertrauten und unvertrauten Situationen nach vorgegebenen Kriterien gezielt Feedback zu Redebeiträgen,";"";"z5p"
"1.1.9";"nutzen technische Möglichkeiten beim digitalen Kommunizieren in vertrauten und unvertrauten Situationen.";"";"y4q"
"1.2";"Verstehend zuhören";"";"f6y"
"1.2.1";"können in vertrauten und unvertrauten Kommunikationssituationen";"";"a3g"
"1.2.1.1";"Gesprächsprozesse verfolgen, verstehen und Inhalte für die Kommunikation nutzen,";"";"p4d"
"1.2.1.2";"Verstehen und Nicht-Verstehen zum Ausdruck bringen, z. B. durch Nachfragen, durch Kommentare,";"";"f2c"
"1.2.2";"hören in vertrauten und unvertrauten Situationen sinnverstehend zu,";"";"q3p"
"1.2.2.1";"geben Informationen wieder und ziehen einfache Schlussfolgerungen,";"";"h7z"
