"notation";"title";"description";"id"
"1";"Sprechen und Zuhören";"";"q5x"
"1.1";"Zu anderen sprechen";"";"t9h"
"1.1.1";"äußern sich verständlich und situationsadäquat auch in der gesprochenen Standardsprache,";"";"u3a"
"1.1.2";"verfügen über einen angemessenen Wortschatz,";"";"a3r"
"1.1.3";"kommunizieren mit Blick auf Adressaten und Ziele situationsangemessen:";"";"c6q"
"1.1.3.1";"erzählen,";"";"r7z"
"1.1.3.2";"informieren: berichten, beschreiben,";"";"f5r"
"1.1.3.3";"erklären,";"";"h3y"
"1.1.3.4";"erläutern,";"";"e4v"
"1.1.3.5";"argumentieren, erörtern,";"";"b2a"
"1.1.3.6";"appellieren,";"";"v7b"
"1.1.4";"nutzen ihre Vorbereitungen (z. B. Notizen) für die sach- und situationsgerechte, differenzierte Gestaltung vertrauter und unvertrauter Situationen, z. B. Bewerbungsgespräch, Diskussion, Debatte, Präsentation,";"";"h5z"
"1.1.5";"bauen Redebeiträge in vertrauten und unvertrauten Situationen für andere nachvollziehbar und sinnvoll auf,";"";"z4v"
"1.1.6";"berücksichtigen bewusst ein Spektrum von Wirkungen ihrer Redeweise situations- und adressatengerecht: Lautstärke, Betonung, Sprechtempo, Pausen, Körpersprache (Gestik/Mimik/Körperhaltung),";"";"c2c"
"1.1.7";"wählen geeignete (multimodale) Medien sinnvoll aus und setzen diese gezielt ein, um den Inhalt und die Wirkung eigener Sprechbeiträge zu unterstützen,";"";"s5v"
"1.1.8";"geben in vertrauten und unvertrauten Situationen gezielt Feedback zu Redebeiträgen,";"";"z7z"
"1.1.9";"nutzen technische Möglichkeiten beim digitalen Kommunizieren in vertrauten und unvertrauten Situationen reflektiert.";"";"g2g"
"1.2";"Verstehend zuhören";"";"d2e"
"1.2.1";"können in einem Spektrum vertrauter und unvertrauter Kommunikationssituationen";"";"v2h"
"1.2.1.1";"Gesprächsprozesse verfolgen, verstehen und Inhalte für die Kommunikation nutzen,";"";"q6q"
"1.2.1.2";"Verstehen und Nicht-Verstehen zum Ausdruck bringen, z. B. durch Nachfragen, durch Kommentare,";"";"d4h"
"1.2.2";"hören in einem Spektrum vertrauter und unvertrauter Situationen sinnverstehend zu,";"";"a2e"
"1.2.2.1";"geben Informationen wieder und ziehen im Ansatz auch komplexe Schlussfolgerungen,";"";"u6u"
"1.2.2.2";"erfassen dem Lernstand entsprechende (komplexere) Hörtexte, Gesprächsphasen oder Gespräche (z. B. zentrale Aussagen sowie Sprech- und Gesprächsabsichten),";"";"d4y"
"1.2.2.3";"beurteilen auch komplexe Aussagen zum Gehörten begründet,";"";"h9v"
"1.2.2.4";"zeigen Aufmerksamkeit für (para-)verbale (z. B. Stimmführung, Körpersprache) und nonverbale Äußerungen (z. B. Gestik, Körperhaltung),";"";"a2v"
"1.2.3";"wählen aus einem Repertoire kognitiver und metakognitive Strategien aus, die sie vor, während und nach dem Zuhören einsetzen, z. B. die Erwartungshaltung zielorientiert steuern, Aufmerksamkeit steuern, Informationen sichern und zusammenfassen: Notizen, Protokoll.";"";"c2r"
"1.3";"Mit anderen sprechen";"";"e4p"
"1.3.1";"gestalten vertraute und unvertraute Gesprächssituationen verständlich, zuhörerbezogen, themenbezogen und konstruktiv,";"";"d5e"
"1.3.2";"beachten gemeinsam entwickelte oder für öffentliche Kommunikation prototypische Gesprächsregeln; gestalten eine wertschätzende Gesprächsatmosphäre,";"";"h2f"
"1.3.3";"formulieren in vertrauten und unvertrauten Situationen angemessen; gehen auf die Gesprächspartnerin bzw. den Gesprächspartner und die jeweilige Situation ein,";"";"g3b"
"1.3.4";"nehmen in Gesprächen verschiedene Rollen (z. B. Moderation) ein und richten diese an den jeweiligen Zielen aus,";"";"r7b"
"1.3.5";"praktizieren ein Spektrum von Gesprächs- und Lernformen, z. B. literarische Gespräche, Rollenspiele, Vorstellungsgespräche, Diskussionen, Debatten, videogestützte Gespräche, Interviews,";"";"c3u"
"1.3.6";"wenden ein Spektrum von allgemeinen und für Gesprächs- und Lernformen spezifischen Strategien an, z. B. Gespräche steuern (Diskussionen), zielführende Rückmeldungen geben (Feedback),";"";"t5g"
"1.3.7";"sprechen über das sprachliche und literarische Lernen sowie über Lernerfahrungen: geben Beobachtungen wieder, beschreiben Sachverhalte, geben Erklärungen und Begründungen, reflektieren.";"";"g5f"
"1.4";"Vor anderen sprechen";"";"h3z"
"1.4.1";"leisten längere, auch freie Beiträge adressatenorientiert und mit Hilfe eines Stichwortzettels/einer Gliederung/von Notizen/eines Textes, z. B. Referat, Präsentation, Rede, Gedicht,";"";"p3q"
"1.4.2";"nutzen typische Werkzeuge für das Sprechen vor anderen, z. B. Tafel, Plakat, Moderationskarten, Präsentationssoftware, Whiteboard,";"";"h7d"
"1.4.3";"planen, organisieren und gestalten Formen des Präsentierens, z. B. Standbild, Stegreif-Rede, Referat, Podcasts, Erklärvideos,";"";"r3d"
"1.4.4";"planen und gestalten Formen des szenischen Sprechens und Spielens, z. B. szenische Lesung, Szene, Aufführung, Hörspiel, Videoclip, Film, Standbilder, Improvisation.";"";"a3d"
"2";"Schreiben";"";"z4t"
"2.1";"Über Schreibfertigkeiten verfügen";"";"r2u"
"2.1.1";"schreiben Wörter, Wortgruppen und Sätze flüssig, d. h. schnell, sicher und korrekt (automatisiert), und formulieren ihre Gedanken flüssig,";"";"z2s"
"2.1.2";"schreiben Texte (handschriftlich leserlich und mithilfe digitaler Schreibwerkzeuge) in einem der Situation angemessenen Tempo, z. B. persönliche Notiz vs. handschriftlicher Brief,";"";"s5e"
"2.1.3";"gestalten Texte (handschriftlich und mithilfe digitaler Schreibwerkzeuge) übersichtlich und zielorientiert, bauen sie sinnvoll auf und strukturieren diese: z. B. Blattaufteilung, Seitenränder, Absatzstrukturen, Textformatierung und Layout.";"";"h2c"
"2.2";"Orthografisch schreiben";"";"q3c"
"2.2.1";"kennen wort- und satzbezogene Rechtschreibstrategien und wenden diese sicher an";"";"d6h"
